ticker,cik,name,cohort,year1,year2,filing_date,trade_start_date,nominal_1m,nominal_3m,nominal_6m,nominal_12m,excess_kre_1m,excess_kre_3m,excess_kre_6m,excess_kre_12m,note
ASB,00007789,Associated Banc-Corp,regional_midcap,2019,2020,2021-02-09,2021-02-10,0.2133,0.1719,0.1261,0.3611,0.0462,0.0551,0.0136,0.1039,
ASB,00007789,Associated Banc-Corp,regional_midcap,2020,2021,2022-02-08,2022-02-09,-0.0744,-0.2192,-0.1541,-0.0308,-0.0082,-0.0234,-0.0514,0.1088,
ASB,00007789,Associated Banc-Corp,regional_midcap,2021,2022,2023-02-13,2023-02-14,-0.1747,-0.3884,-0.2545,-0.0892,0.0948,0.0224,0.0248,0.1054,
ASB,00007789,Associated Banc-Corp,regional_midcap,2022,2023,2024-02-08,2024-02-09,0.0392,0.1146,0.0263,0.2697,0.0192,0.0544,-0.0834,-0.0949,
WTFC,0001015328,Wintrust Financial Corp,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.0272,0.0562,-0.0082,0.3194,0.0161,-0.0109,-0.0231,0.1797,
WTFC,0001015328,Wintrust Financial Corp,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.0309,-0.1157,-0.139,-0.0576,-0.0105,0.0145,0.0018,0.0987,
WTFC,0001015328,Wintrust Financial Corp,regional_midcap,2021,2022,2023-02-28,2023-03-01,-0.2176,-0.3059,-0.1504,0.0753,0.0666,0.0519,0.1119,0.2699,
WTFC,0001015328,Wintrust Financial Corp,regional_midcap,2022,2023,2024-02-28,2024-02-29,0.0697,0.0188,0.1238,0.2214,0.0377,0.0102,-0.0882,-0.0421,
UMBF,0000101382,UMB Financial Corp,regional_midcap,2019,2020,2021-03-01,2021-03-02,0.0728,0.1356,0.0572,0.1329,0.0612,0.0479,0.0561,0.0446,
UMBF,0000101382,UMB Financial Corp,regional_midcap,2020,2021,2022-02-24,2022-02-25,-0.0243,-0.1067,-0.1047,-0.1022,0.0084,0.0317,0.0174,0.0439,
